pl_name,hostname,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_eqt,pl_insol,pl_orbsmax,pl_orbper,st_spectype,st_teff,st_rad,st_mass,discoverymethod,disc_year,disc_facility,sy_dist,pl_type
11 Com b,11 Com,12.2,1.09,4914.89848585,15.464,0.238,,,1.178,323.21,G8 III,4874.0,13.76,2.09,Radial Velocity,2007.0,Xinglong Station,93.1846,Gas Giant
11 UMi b,11 UMi,12.3,1.09,4684.8142,14.74,0.08,,,1.53,516.21997,K4 III,4213.0,29.79,2.78,Radial Velocity,2009.0,Thueringer Landessternwarte Tautenburg,125.321,Gas Giant
14 And b,14 And,13.1,1.16,1131.15130051,3.559,0.0,,,0.775,186.76,K0 III,4888.0,11.55,1.78,Radial Velocity,2008.0,Okayama Astrophysical Observatory,75.4392,Gas Giant
14 Her b,14 Her,12.6,1.12,2559.47216157,8.053,0.373,,,2.774,1765.0389,K0V,5338.0,0.93,0.91,Radial Velocity,2002.0,W. M. Keck Observatory,17.9323,Gas Giant
16 Cyg B b,16 Cyg B,13.5,1.2,565.7374,1.78,0.68,,,1.66,798.5,G3 V,5750.0,1.13,1.08,Radial Velocity,1996.0,Multiple Observatories,21.1397,Gas Giant
17 Sco b,17 Sco,12.9,1.15,1373.01871824,4.32,0.06,,,1.45,578.38,K3 III,4157.0,25.92,1.22,Radial Velocity,2020.0,Lick Observatory,124.953,Gas Giant
18 Del b,18 Del,12.5,1.12,2926.24614325,9.207,0.024,,,2.476,982.85,G6 III,4980.0,8.8,2.1,Radial Velocity,2008.0,Okayama Astrophysical Observatory,76.222,Gas Giant
1RXS J160929.1-210524 b,1RXS J160929.1-210524,18.647,1.664,3000.0,8.0,,1700.0,,330.0,,K7 V,4060.0,1.31316,0.85,Imaging,2008.0,Gemini Observatory,139.135,Gas Giant
24 Boo b,24 Boo,13.9,1.24,280.64248338,0.883,0.032,,,0.194,30.33,G3 IV,4816.0,12.19,1.05,Radial Velocity,2018.0,Okayama Astrophysical Observatory,95.9863,Gas Giant
24 Sex b,24 Sex,13.4,1.19,632.46,1.99,0.09,,,1.333,452.8,K0 IV,5098.0,4.9,1.54,Radial Velocity,2010.0,Lick Observatory,72.0691,Gas Giant
24 Sex c,24 Sex,13.9,1.24,273.32,0.86,0.29,,,2.08,883.0,K0 IV,5098.0,4.9,1.54,Radial Velocity,2010.0,Lick Observatory,72.0691,Gas Giant
2M0437 b,2MASS J04372171+2651014,13.0,1.16,1271.313628,4.0,,1450.0,,118.0,,M V,3100.0,0.84,0.17,Imaging,2021.0,Subaru Telescope,128.484,Gas Giant
